Date	Time	Severity	PID	TID	Function	Message
08-05-2026	13:18:12.951	 INFO	 63332	 63336	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
08-05-2026	13:18:12.965	 INFO	 63332	 63336	DllMain	"PROCESS ATTACHED"
08-05-2026	13:18:12.966	 INFO	 63332	 48404	LateInitialization	"Intialization..."
08-05-2026	13:18:12.968	 INFO	 63332	 48404	LoadDisplayDevicesName	"DisplayDevices : "
08-05-2026	13:18:12.969	 INFO	 63332	 48404	LoadDisplayDevicesName	"\\.\DISPLAY1"
08-05-2026	13:18:12.970	 INFO	 63332	 48404	LoadDisplayDevicesName	"\\.\DISPLAY2"
08-05-2026	13:18:12.971	 INFO	 63332	 48404	LoadDisplayDevicesName	"\\.\DISPLAY3"
08-05-2026	13:18:12.973	 INFO	 63332	 48404	LoadDisplayDevicesName	"\\.\DISPLAY4"
08-05-2026	13:18:15.991	ERROR	 63332	 48404	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
08-05-2026	13:18:15.993	 INFO	 63332	 48404	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 341487359
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
08-05-2026	13:18:15.993	 INFO	 63332	 48404	LateInitialization	"Intialization finished"
08-05-2026	13:18:55.961	 INFO	 53392	 68420	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
08-05-2026	13:18:55.964	 INFO	 53392	 68420	DllMain	"PROCESS ATTACHED"
08-05-2026	13:18:55.965	 INFO	 53392	 13892	LateInitialization	"Intialization..."
08-05-2026	13:18:55.968	 INFO	 53392	 13892	LoadDisplayDevicesName	"DisplayDevices : "
08-05-2026	13:18:55.970	 INFO	 53392	 13892	LoadDisplayDevicesName	"\\.\DISPLAY1"
08-05-2026	13:18:55.972	 INFO	 53392	 13892	LoadDisplayDevicesName	"\\.\DISPLAY2"
08-05-2026	13:18:55.972	 INFO	 53392	 13892	LoadDisplayDevicesName	"\\.\DISPLAY3"
08-05-2026	13:18:55.974	 INFO	 53392	 13892	LoadDisplayDevicesName	"\\.\DISPLAY4"
08-05-2026	13:18:58.988	ERROR	 53392	 13892	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
08-05-2026	13:18:58.989	 INFO	 53392	 13892	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\grep.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 341530359
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
08-05-2026	13:18:58.990	 INFO	 53392	 13892	LateInitialization	"Intialization finished"
